query_a,answer_a,query_b,answer_b,domain,explanation
"Considering blood type universal, which is: o or ab?",o,"Considering blood type rare, which is: o or ab?",ab,medicine,Type?O? is universal donor; AB is rare.
"Considering largest mammal, which is: whale or cheetah?",whale,"Considering fastest mammal, which is: whale or cheetah?",cheetah,zoology,The blue whale is largest; the cheetah is fastest on land.
"Considering sport bat small, which is: cricket or tennis?",cricket,"Considering sport racket small, which is: cricket or tennis?",tennis,sports,Cricket uses a bat; tennis uses a racket.
"Considering season leaves fall, which is: autumn or winter?",autumn,"Considering season snow falls, which is: autumn or winter?",winter,seasons,Leaves drop in autumn; snow dominates winter.
"Considering flag maple leaf, which is: canada or japan?",canada,"Considering flag rising sun, which is: canada or japan?",japan,flags,Maple leaf flag belongs to Canada; the rising sun flag to Japan.
"Considering write ink tool, which is: pen or pencil?",pen,"Considering draw lead tool, which is: pen or pencil?",pencil,stationery,Ink marks come from pens; graphite from pencils.
"Considering continent kangaroo, which is: australia or asia?",australia,"Considering continent panda, which is: australia or asia?",asia,zoology/geography,Kangaroos are native to Australia; giant pandas to Asia.
"Considering plumber game, which is: mario or sonic?",mario,"Considering hedgehog game, which is: mario or sonic?",sonic,gaming,Mario is the plumber; Sonic is the hedgehog.
"Considering hello in spanish, which is word: hola or bonjour?",hola,"Considering hello in french, which is word: hola or bonjour?",bonjour,language,�Hola� is Spanish; �Bonjour� is French for hello.
"Considering device take photo, which is: camera or phone?",camera,"Considering device make call, which is: camera or phone?",phone,tech,Primary photo tool is a camera; primary call tool is a phone.
"Considering sense smell strong, which organ: nose or ear?",nose,"Considering sense hear strong, which organ: nose or ear?",ear,biology,Smell uses the nose; hearing uses the ear.
"Considering metal precious yellow, which is: gold or silver?",gold,"Considering metal precious white, which is: gold or silver?",silver,metallurgy,Gold is yellow; silver is white?metallic.
"Considering continent largest, which is: asia or australia?",asia,"Considering continent smallest, which is: asia or australia?",australia,geography,Asia is largest; Australia is smallest by area.
"Considering programming snake, which is: python or ruby?",python,"Considering programming gem, which is: python or ruby?",ruby,programming,Python is named after a snake; Ruby after a gem.
"Considering electric car brand, which is: tesla or ford?",tesla,"Considering horse logo car, which is: tesla or ford?",ford,automobiles,Tesla makes electric cars; Ford�s emblem is a galloping horse (Mustang).
"Considering rings planet, which is: saturn or mars?",saturn,"Considering red planet, which is: saturn or mars?",mars,astronomy,Saturn is ringed; Mars is red.
"Considering season blossoms, which is: spring or autumn?",spring,"Considering season harvest, which is: spring or autumn?",autumn,seasons,Flowers bloom in spring; harvests peak in autumn.
"Considering instrument keys ivory, which is: piano or sax?",piano,"Considering instrument reeds brass, which is: piano or sax?",sax,music,Ivory?keyed instrument is the piano; reed/brass hybrid is the saxophone.
"Considering browser privacy focus, which is: brave or opera?",brave,"Considering browser legacy name, which is: brave or opera?",opera,web�browsers,Brave markets privacy; Opera is a long?standing browser.
"Considering drink beans brewed, which is: coffee or tea?",coffee,"Considering drink leaves brewed, which is: coffee or tea?",tea,beverages,Coffee brews roasted beans; tea brews leaves.
"Considering bird nocturnal, which is: owl or emu?",owl,"Considering bird flightless, which is: owl or emu?",emu,birds,Owls are nocturnal; emus are large flightless birds.
"Considering wind instrument brass, which is: tuba or flute?",tuba,"Considering wind instrument wood, which is: tuba or flute?",flute,music,Tubas are brass instruments; flutes are woodwinds.
"Considering shape three sides, which is: triangle or square?",triangle,"Considering shape four sides, which is: triangle or square?",square,geometry,3?sided shape is triangle; 4?sided is square.
"Considering browser privacy focus, which is: brave or opera?",brave,"Considering browser legacy name, which is: brave or opera?",opera,technology,Brave emphasizes privacy; Opera has long heritage.
"Considering gem red, which is: ruby or topaz?",ruby,"Considering gem yellow, which is: ruby or topaz?",topaz,gemology,Ruby is red; yellow varieties of topaz are common.
"Considering pet purr, which is: cat or dog?",cat,"Considering pet bark, which is: cat or dog?",dog,pets,Cats purr; dogs bark.
